file_id,rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id
data_2021-04-06-15-14-19_jlfs51np84,2878,"
  <p> Welcome to my experiment </p>
  <p> Press any key to continue </p>

",NA,html-keyboard-response,0,2880,0.0-0.0
data_2021-04-06-15-14-19_jlfs51np84,2099,audio/A3.mp3,a,audio-keyboard-response,1,5040,0.0-1.0
data_2021-04-06-15-14-19_jlfs51np84,766,audio/C3.mp3,b,audio-keyboard-response,2,5818,0.0-2.0
data_2021-04-06-15-14-19_jlfs51np84,1161,audio/E4.mp3,c,audio-keyboard-response,3,6990,0.0-3.0
data_2021-04-06-15-14-19_jlfs51np84,598,audio/E5.mp3,d,audio-keyboard-response,4,7598,0.0-4.0
data_2021-04-06-15-14-19_jlfs51np84,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,5,8600,0.0-5.0-0.0
data_2021-04-06-15-14-19_jlfs51np84,1051,audio/E4.mp3,b,audio-keyboard-response,6,9653,0.0-5.0-1.0
data_2021-04-06-15-14-19_jlfs51np84,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,7,10654,0.0-5.0-0.1
data_2021-04-06-15-14-19_jlfs51np84,935,audio/C3.mp3,c,audio-keyboard-response,8,11590,0.0-5.0-1.1
data_2021-04-06-15-14-19_jlfs51np84,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,9,12591,0.0-5.0-0.2
data_2021-04-06-15-14-19_jlfs51np84,833,audio/A3.mp3,d,audio-keyboard-response,10,13426,0.0-5.0-1.2
data_2021-04-06-15-14-19_jlfs51np84,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,11,14427,0.0-5.0-0.3
data_2021-04-06-15-14-19_jlfs51np84,653,audio/E5.mp3,a,audio-keyboard-response,12,15079,0.0-5.0-1.3
data_2021-04-06-15-14-19_jlfs51np84,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,13,16080,0.0-5.0-0.4
data_2021-04-06-15-14-19_jlfs51np84,978,audio/A3.mp3,c,audio-keyboard-response,14,17059,0.0-5.0-1.4
data_2021-04-06-15-14-19_jlfs51np84,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,15,18059,0.0-5.0-0.5
data_2021-04-06-15-14-19_jlfs51np84,842,audio/C3.mp3,d,audio-keyboard-response,16,18903,0.0-5.0-1.5
data_2021-04-06-15-14-19_jlfs51np84,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,17,19904,0.0-5.0-0.6
data_2021-04-06-15-14-19_jlfs51np84,691,audio/E4.mp3,b,audio-keyboard-response,18,20595,0.0-5.0-1.6
data_2021-04-06-15-14-19_jlfs51np84,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,19,21597,0.0-5.0-0.7
data_2021-04-06-15-14-19_jlfs51np84,621,audio/E5.mp3,d,audio-keyboard-response,20,22218,0.0-5.0-1.7
data_2021-04-06-15-14-19_jlfs51np84,3206,<p> Thanks for participating </p>,b,html-keyboard-response,21,25424,0.0-6.0
